Id_bien;Id_lieu;No_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type local
9584;33281;8;SQ CHARLES DESPIAU;4;88;82;Appartement
9585;33281;76;AV DE ST MEDARD;2;47.02;47;Appartement
9586;33281;445;AV DE VERDUN;2;39.58;38;Appartement
9587;33318;9;ALL DES TULIPES;2;33.53;33;Appartement
9588;33554;12;AV DE PLAISANCE;4;80.93;78;Maison
9589;3432;9;AV DES ARBOUSIERS;3;73.96;85;Maison
9590;34123;29;RUE DES SOURCES;5;103.69;102;Maison
9591;34154;;RUE DU VIEUX VILLAGE CARNON;3;46.27;43;Appartement
9592;34165;1;RUE DE LA CARRIERASSE;6;107.57;115;Appartement
9593;34172;13;RUE AZEMA;2;34.8;35;Appartement
9594;34301;94;RUE MONTMORENCY;2;51.19;53;Appartement
9595;34333;21;CHEM DE LA SOURCE;3;63.68;46;Maison
9596;351;8;RUE DES CHARPENTIERS;3;51.47;52;Appartement
9597;35238;18;BD VOLNEY;1;24.18;23;Appartement
9598;35238;3;RUE ADOLPHE TOUFFAIT;3;74.09;73;Appartement
9599;38151;4;RUE DE LA BUCLEE;3;65.48;65;Appartement
9600;38151;44;AV DE GRUGLIASCO;1;38.33;38;Appartement
9601;38253;41;AV DE LA MUZELLE MT DE LANS;1;14.85;14;Appartement
9602;38421;93;AV JULES VALLES;3;65.4;64;Appartement
9603;38474;27;CHEM DU VINAY;2;40.9;40;Appartement
9604;38474;86; RIVOIRE DE LA DAME;5;103.36;93;Maison
9605;38563;69;RUE FAUBOURG SERMORENS;2;36.55;35;Appartement
9606;39478;12;RUE DU MARCHE;2;40.03;47;Appartement
9607;4043;1998;RTE DE LESPECIER;3;46.09;64;Maison
9608;4088;17;RUE LABADIE;4;95.38;98;Appartement
9609;4088;21;AV DE LA REPUBLIQUE;2;30.56;55;Appartement
9610;40192;6;IMP AMAURY;2;45.13;46;Appartement
9611;40296;8;PL DES ESTAGNOTS;2;46.31;48;Appartement
9612;425;26;CHE DES BULIEUX;3;71;67;Appartement
9613;4244;5;RUE DES MOLIERES;4;102;104;Appartement
9614;42218;10;RUE EDMOND CHARPENTIER;2;62.5;74;Appartement
9615;43236;92;AV DE LA SEMENE;5;80.29;95;Appartement
9616;44109;12;RUE DES STOCKS;1;34.98;36;Appartement
9617;44109;30;BD BABIN CHEVAYE;3;68.04;67;Appartement
9618;44114;109;AV DE LA FERRIERE;2;47.34;58;Appartement
9619;44126;8;RUE DE LA CROIX BERNIER;3;50.05;49;Appartement
9620;44132;212;BD OCEANIDES;2;51.55;45;Appartement
9621;45234;10;AV JEAN ZAY;4;90.1;90;Appartement
9622;45284;13;PL DE LA COMMUNE;3;82.7;83;Appartement
9623;471;9002;RUE ERNEST SARROU;1;17.32;17;Appartement
9624;4935;26;RUE DU SOUCHET;1;34.91;36;Appartement
9625;49283;4; RES MARION;4;87.3;88;Maison
9626;50218;32;RES DU STADE;4;73.07;72;Appartement
9627;51454;116;RUE PONSARDIN;1;26.67;28;Appartement
9628;53130;17;ALL DES POMMIERS;2;39.7;39;Maison
9629;54184;55;AV GENERAL LECLERC;2;54.2;55;Appartement
9630;54357;5;RUE COURBET;1;20.27;27;Appartement
9631;54395;9200;RUE DU COLONEL GRANDVAL;2;47.05;46;Appartement
9632;54451;5;RUE STE GENEVIEVE BEAUSEJOUR;4;65.2;65;Appartement
9633;59350;18;RUE ARAGO;2;39.86;39;Appartement
9634;59360;545;RUE DU BAZINGHIEN;4;81.33;150;Appartement
9635;59599;2;QUAI DE CHERBOURG;4;93.95;92;Appartement
9636;6088;5;RUE GAMBETTA;3;70.32;77;Appartement
9637;60175;4;ALL ARTHUR RIMBAUD;2;38.79;39;Appartement
9638;60635;3;RUE JULES UHRY;4;97.83;95;Maison
9639;62765;104;RUE DE CALAIS;3;71.3;77;Appartement
9640;64547;80; KIROLETAKO ATEKAMOTZA;3;63.77;64;Appartement
9641;6927;16;RUE DU GAREL;4;83.71;83;Appartement
9642;69290;41;RUE GAMBETTA;3;67.3;67;Appartement
9643;69382;34;QUAI GAILLETON;6;238.63;230;Appartement
9644;69384;76;RUE JACQUARD;3;62.49;65;Appartement
9645;69385;29;AV DU POINT DU JOUR;2;40.05;34;Appartement
9646;69389;6;GR GDE RUE DE VAISE;2;22.57;26;Appartement
9647;70311;12;RUE DES REMPARTS;3;87.61;89;Appartement
9648;70550;3;RUE DE NOIDANS;1;34.06;35;Appartement
9649;7456;26;PL EDMOND DESAILLOUD;2;27.51;29;Appartement
9650;74143;; LES HOUCHES;3;93.02;92;Appartement
9651;74190;5137; HONORAZ;1;23.9;24;Appartement
9652;74236;610;AV DU MONT D ARBOIS;1;16.32;15;Appartement
9653;74256;475;ART ANCIENNE RTE IMPERIALE;3;55.26;56;Appartement
9654;75101;304;RUE SAINT HONORE;2;55.03;51;Appartement
9655;75102;1;RUE DE HANOVRE;3;68.06;65;Appartement
9656;75102;16;RUE MARIE STUART;1;17.74;17;Appartement
9657;75102;57;RUE DE CLERY;1;28.69;32;Appartement
9658;75105;8;RUE COCHIN;2;29.01;29;Appartement
9659;75105;17;RUE JUSSIEU;1;19.55;20;Appartement
9660;75105;83;RUE DU CARDINAL LEMOINE;1;31.67;30;Appartement
9661;75105;88;BD DE PORT ROYAL;3;48.75;46;Appartement
9662;75106;5;RUE DU PONT DE LODI;2;37.71;37;Appartement
9663;75106;1;RUE CASSETTE;4;84.86;87;Appartement
9664;75106;85;RUE DES SAINTS PERES;1;12.9;15;Appartement
9665;75107;150;RUE DE L UNIVERSITE;4;140.39;141;Appartement
9666;75108;14;CRS ALBERT 1ER;2;42.97;42;Appartement
9667;75109;43;RUE PIERRE FONTAINE;1;12.56;15;Appartement
9668;75109;4;PL ESTIENNE D ORVES;2;56.5;56;Appartement
9669;75109;25;RUE DE BELLEFOND;2;24.12;24;Appartement
9670;75111;128;BD VOLTAIRE;2;40.42;42;Appartement
9671;75111;3; N 11;1;20.62;22;Appartement
9672;75113;86;AV DE CHOISY;3;45.32;50;Appartement
9673;75113;66;BD AUGUSTE BLANQUI;1;18.47;12;Appartement
9674;75115;51;BD LEFEBVRE;1;16.26;12;Appartement
9675;75115;366;RUE DE VAUGIRARD;1;13.51;19;Appartement
9676;75115;37;RUE DE LA CROIX NIVERT;2;43.13;44;Appartement
9677;75115;4; VIL DE L ASTROLABE;1;18.34;19;Appartement
9678;75115;2;RUE SARASATE;2;29.45;30;Appartement
9679;75116;22;RUE LE MAROIS;3;69.99;70;Appartement
9680;75116;104;QUAI LOUIS BLERIOT;4;94.98;100;Appartement
9681;75116;69;RUE DE LA FAISANDERIE;1;38.32;35;Appartement
9682;75116;3;RUE DE TRAKTIR;6;181.35;175;Appartement
9683;75117;17;RUE DES ACACIAS;3;56;54;Appartement
9684;75118;62;RUE DU MONT CENIS;1;13.38;15;Appartement
9685;75119;14;RUE CLOVIS HUGUES;1;22.84;15;Appartement
9686;75119;14;RUE BOTZARIS;2;66.9;65;Appartement
9687;75119;25;RUE DU TUNNEL;2;29.46;32;Appartement
9688;75120;78;BD DE BELLEVILLE;1;25.5;27;Appartement
9689;76451;3;RUE LEFORT GONSSOLIN;2;59.4;58;Appartement
9690;77121;40;RUE DE LA BROSSE;3;65.29;65;Appartement
9691;77186;3;RUE DU COQ GRIS;1;25.4;18;Appartement
9692;77258;70;RUE DE LA TOUR D'AUVERGNE;3;62.54;62;Appartement
9693;77284;3;RUE PAUL CLAUDEL;3;68.13;68;Appartement
9694;77305;27;RUE JEAN JAURES;1;50.73;34;Appartement
9695;77305;19;RUE PORT DES FOSSES;1;24.42;25;Appartement
9696;77316;44;RUE GEORGES VILLETTE;3;54.19;62;Appartement
9697;77333;10;AV CARNOT;2;30.66;33;Appartement
9698;77350;37;RUE PLUME VERT;1;28.39;28;Appartement
9699;77373;35;AV CHARLES BALEZEAUX;1;32.63;32;Appartement
9700;77390;2;AV JEAN BAPTISTE COROT;5;94.72;95;Maison
9701;77419;5929;CITE DES GUETTES;4;79.58;80;Appartement
9702;77464;2;RUE DE LA GARE;2;41.59;41;Appartement
9703;77468;19;ALL PIROUETTE;2;53.3;51;Appartement
9704;7873;1;RUE HENRI BARBUSSE;2;46.61;46;Appartement
9705;7889;1;RUE THIERS;3;73.81;50;Maison
9706;78172;1;RUE DES COTES DE VANNES;3;57.04;50;Appartement
9707;78367;7;RUE DE LA MONTJOIE;1;25.46;24;Appartement
9708;78586;1;RUE MICHELET;2;28.5;22;Appartement
9709;78640;26;RUE DE VILLACOUBLAY;2;58.78;58;Appartement
9710;8021;9;RUE DES JACOBINS;2;23.07;22;Appartement
9711;8021;3;RUE SYLVIUS;1;13.2;13;Appartement
9712;8021;11;RUE JEAN FROISSART;1;18.79;19;Appartement
9713;8039;45;GR GRANDE RUE;1;11.82;12;Appartement
9714;80333;616;AV DE LA PLAGE;2;33;35;Appartement
9715;82121;400;RUE HENRI LAPAUZE;5;84.97;86;Appartement
9716;839;27;RUE DU DOCTEUR LOUIS MARCON;2;21.74;30;Appartement
9717;8312;3;RUE DU REAL;2;69.86;60;Appartement
9718;8319;819;COR DES ILES D OR;2;41.79;45;Appartement
9719;8369;5;RUE CLAUDE DURAND;2;29;35;Appartement
9720;8398;9001;RES LES CIGALONS;2;45.87;45;Appartement
9721;83153;14;AV DE LA MER;1;23.26;24;Appartement
9722;8419;9;RUE FREDERIC MISTRAL;1;50.24;54;Appartement
9723;8489;9032;RTE D ANSOUIS;3;61;59;Appartement
9724;8785;44;RUE DES CROUZILLOUX;3;71.28;69;Maison
9725;91114;12;RUE CURIE;6;116.19;116;Maison
9726;91122;53;RUE CHARLES DE GAULLE;2;42.35;45;Appartement
9727;91161;2;SQ DE PROVENCE;4;82.46;82;Appartement
9728;91174;9;RUE DU GENERAL LECLERC;3;52.9;62;Appartement
9729;91174;55;RUE FERAY;2;37.3;42;Appartement
9730;91191;16;AV JEAN JAURES;1;30;31;Appartement
9731;91200;5;ALL COROT;6;124.99;142;Maison
9732;91339;11;RUE DE LA DIVISION LECLERC;2;38.07;40;Appartement
9733;91494;15;RUE DES CAPUCINES;7;125;124;Maison
9734;91552;16; PARC DE CHANTELOUP;4;58.98;60;Appartement
9735;91589;25;RUE DES ROSSAYS;4;67.13;66;Appartement
9736;91657;16;RUE JEAN MARIE DJIBAOU;4;83.6;80;Maison
9737;9224;6;RUE DES CAILLOUX;1;27.5;26;Appartement
9738;9246;4;AV JEAN JAURES;3;44.89;42;Appartement
9739;9249;112;AV HENRI GINOUX;3;58.02;54;Appartement
